etiqueta,codigo
Otros maestros e instructores de nivel medio,3340
Otros maestros e instructores de nivel medio,3340
Otros maestros e instructores de nivel medio,3340
Otros maestros e instructores de nivel medio,3340
"Agentes de bolsa, cambio y otros servicios financieros",3411
"Agentes de bolsa, cambio y otros servicios financieros",3411
Agentes de seguros,3412
Agentes inmobiliarios,3413
Agentes de viajes,3414
Agentes de viajes,3414
Agentes de viajes,3414
Representantes comerciales y técnicos de ventas,3415
Representantes comerciales y técnicos de ventas,3415
Representantes comerciales y técnicos de ventas,3415
Compradores,3416
Tasadores y subastadores,3417
Tasadores y subastadores,3417
"Profesionales de nivel medio en operaciones y comerciales, no clasificados bajo otros epígrafes",3419
Agentes de compras y consignatarios,3421
Declarantes o gestores de aduana,3422
Agentes públicos y privados de colocación y contratistas de mano de obra,3423
"Agentes comerciales y corredores, no clasificados bajo otros epígrafes",3429
Profesionales de nivel medio de servicios administrativos y afines,3431
Profesionales de nivel medio de servicios administrativos y afines,3431
Profesionales de nivel medio de servicios administrativos y afines,3431
Profesionales de nivel medio de servicios administrativos y afines,3431
Profesionales de nivel medio del derecho y servicios legales o afines,3432
Tenedores de libros,3433
"Profesionales de nivel medio de servicios estadísticos, matemáticos y afines",3434
"Profesionales de nivel medio de servicios estadísticos, matemáticos y afines",3434
"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes",3439
"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes",3439
"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes",3439
"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes",3439
Agentes de aduana e inspectores de fronteras,3441
Funcionarios del fisco,3442
Funcionarios de servicios de seguridad social,3443
Funcionarios de servicios de expedición de licencias y permisos,3444
"Agentes de las administraciones públicas de aduanas, impuestos y afines, no clasificados bajo otros epígrafes",3449
Inspectores de policía y detectives,3450
Inspectores de policía y detectives,3450
Trabajadores y asistentes sociales de nivel medio,3460
Decoradores y diseñadores,3471
Decoradores y diseñadores,3471
Decoradores y diseñadores,3471
Decoradores y diseñadores,3471
Decoradores y diseñadores,3471
Locutores de radio y televisión y afines,3472
Locutores de radio y televisión y afines,3472
"Músicos, cantantes y bailarines callejeros, de cabaret y afines",3473
"Músicos, cantantes y bailarines callejeros, de cabaret y afines",3473
"Payasos, prestidigitadores, acróbatas y afines",3474
"Atletas, deportistas y afines",3475
"Atletas, deportistas y afines",3475
"Atletas, deportistas y afines",3475
Auxiliares laicos de los cultos,3480
Taquígrafos y mecanógrafos,4111
Taquígrafos y mecanógrafos,4111
Operadores de máquinas de tratamiento de textos y afines,4112
Operadores de máquinas de tratamiento de textos y afines,4112
Operadores de entrada de datos,4113
Operadores de calculadoras,4114
Operadores de calculadoras,4114
Secretarios,4115
Secretarios,4115
Secretarios,4115
Secretarios,4115
Secretarios,4115
Empleados de contabilidad y cálculo de costos,4121
Empleados de contabilidad y cálculo de costos,4121
Empleados de contabilidad y cálculo de costos,4121
Empleados de servicios estadísticos y financieros,4122
Empleados de servicios estadísticos y financieros,4122
Empleados de control de abastecimientos e inventario,4131
Empleados de control de abastecimientos e inventario,4131
Empleados de servicios de apoyo a la producción,4132
Empleados de servicios de apoyo a la producción,4132
Empleados de servicios de transporte,4133
Empleados de servicios de transporte,4133
Empleados de bibliotecas y archivos,4141
Empleados de bibliotecas y archivos,4141
Empleados de bibliotecas y archivos,4141
Empleados de servicios de correos,4142
Empleados de servicios de correos,4142
"Codificadores de datos, correctores de pruebas de imprenta y afines",4143
"Codificadores de datos, correctores de pruebas de imprenta y afines",4143
"Codificadores de datos, correctores de pruebas de imprenta y afines",4143
Escribientes públicos y afines,4144
Escribientes públicos y afines,4144
Otros oficinistas,4190
Otros oficinistas,4190
Otros oficinistas,4190
Otros oficinistas,4190
Otros oficinistas,4190
Cajeros y expendedores de billetes,4211
Cajeros y expendedores de billetes,4211
Cajeros y expendedores de billetes,4211
Pagadores y cobradores de ventanilla y taquilleros,4212
Receptores de apuestas y afines,4213
Prestamistas,4214
Cobradores y afines,4215
Empleados de agencias de viajes,4221
Recepcionistas y empleados de informaciones,4222
Recepcionistas y empleados de informaciones,4222
Recepcionistas y empleados de informaciones,4222
Recepcionistas y empleados de informaciones,4222
Recepcionistas y empleados de informaciones,4222
Recepcionistas y empleados de informaciones,4222
Telefonistas,4223
Telefonistas,4223
Camareros y azafatas,5111
"Revisores, guardas y cobradores de los transportes públicos",5112
Guías,5113
"Ecónomos, mayordomos y afines",5121
"Ecónomos, mayordomos y afines",5121
Cocineros,5122
Cocineros,5122
Cocineros,5122
Camareros y taberneros,5123
Camareros y taberneros,5123
Niñeras y celadoras infantiles,5131
Niñeras y celadoras infantiles,5131
Ayudantes de enfermería en instituciones,5132
Ayudantes de enfermería en instituciones,5132
Ayudantes de enfermería en instituciones,5132
Ayudantes de enfermería a domicilio,5133
"Trabajadores de los cuidados personales y afines, no clasificados bajo otros epígrafes",5139
"Trabajadores de los cuidados personales y afines, no clasificados bajo otros epígrafes",5139
"Peluqueros, especialistas en tratamientos de belleza y afines",5141
"Peluqueros, especialistas en tratamientos de belleza y afines",5141
Acompañantes y ayudas de cámara,5142
Personal de pompas fúnebres y embalsamadores,5143
"Otros trabajadores de servicios personales a particulares, no clasificados bajo otros epígrafes",5149
Astrólogos y afines,5151
"Adivinadores, quirománticos y afines",5152
Bomberos,5161
Policías,5162
Guardianes de prisión,5163
"Personal de los servicios de protección y seguridad, no clasificado bajo otros epígrafes",5169
"Personal de los servicios de protección y seguridad, no clasificado bajo otros epígrafes",5169
"Modelos de modas, arte y publicidad",5210
Vendedores y demostradores de tiendas y almacenes,5220
Vendedores y demostradores de tiendas y almacenes,5220
Vendedores y demostradores de tiendas y almacenes,5220
Vendedores y demostradores de tiendas y almacenes,5220
Vendedores y demostradores de tiendas y almacenes,5220
Vendedores y demostradores de tiendas y almacenes,5220
Vendedores de quioscos y de puestos de mercado,5230
Vendedores de quioscos y de puestos de mercado,5230
Agricultores y trabajadores calificados de cultivos extensivos,6111
Agricultores y trabajadores calificados de plantaciones de árboles y arbustos,6112
"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines",6113
"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines",6113
Agricultores y trabajadores calificados de cultivos mixtos,6114
"Criadores de ganado y otros animales domésticos, productores de leche y sus derivados",6121
Avicultores y trabajadores calificados de la avicultura,6122
Agricultores y sericicultores y trabajadores calificados de la apicultura y la sericicultura,6123
Criadores y trabajadores calificados de la cría de animales domésticos diversos,6124
Criadores y trabajadores calificados de la cría de animales domésticos diversos,6124
Criadores y trabajadores calificados de la cría de animales domésticos diversos,6124
"Criadores y trabajadores pecuarios calificados de la cría de animales para el mercado y afines, no clasificados bajo otros epígrafes",6129
"Criadores y trabajadores pecuarios calificados de la cría de animales para el mercado y afines, no clasificados bajo otros epígrafes",6129
Productores y trabajadores agropecuarios calificados cuya producción se destina al mercado,6130
Taladores y otros trabajadores forestales,6141
Carboneros de carbón vegetal y afines,6142
Criadores de especies acuáticas,6151
Pescadores de agua dulce y aguas costeras,6152
Pescadores de agua dulce y aguas costeras,6152
Pescadores de alta mar,6153
Cazadores y tramperos,6154
Trabajadores agropecuarios y pesqueros de subsistencia,6210
Trabajadores agropecuarios y pesqueros de subsistencia,6210
Trabajadores agropecuarios y pesqueros de subsistencia,6210
Trabajadores agropecuarios y pesqueros de subsistencia,6210
Mineros y canteros,7111
Mineros y canteros,7111
Pegadores,7112
"Tronzadores, labrantes y grabadores de piedra",7113
Constructores con técnicas y materiales tradicionales,7121
Albañiles y mamposteros,7122
Albañiles y mamposteros,7122
"Operarios en cemento armado, enfoscadores y afines",7123
Carpinteros de armar y de blanco,7124
"Oficiales y operarios de la construcción (obra gruesa) y afines, no clasificados bajo otros epígrafes",7129
"Oficiales y operarios de la construcción (obra gruesa) y afines, no clasificados bajo otros epígrafes",7129
"Oficiales y operarios de la construcción (obra gruesa) y afines, no clasificados bajo otros epígrafes",7129
Techadores,7131
Parqueteros y colocadores de suelos,7132
Revocadores,7133
Instaladores de material aislante y de insonorización,7134
Cristaleros,7135
Fontaneros e instaladores de tuberías,7136
Fontaneros e instaladores de tuberías,7136
Electricistas de obras y afines,7137
Pintores y empapeladores,7141
Barnizadores y afines,7142
Limpiadores de fachadas y deshollinadores,7143
Limpiadores de fachadas y deshollinadores,7143
Moldeadores y macheros,7211
Soldadores y oxicortadores,7212
Chapistas y caldereros,7213
Montadores de estructuras metálicas,7214
Aparejadores y empalmadores de cables,7215
Buzos,7216
Herreros y forjadores,7221
Herramentistas y afines,7222
Reguladores y reguladores-operadores de máquinas herramientas,7223
Pulidores de metales y afiladores de herramientas,7224
Mecánicos y ajustadores de vehículos de motor,7231
Mecánicos y ajustadores de vehículos de motor,7231
Mecánicos y ajustadores de motores de avión,7232
Mecánicos y ajustadores de máquinas agrícolas e industriales,7233
Mecánicos y ajustadores de máquinas agrícolas e industriales,7233
Mecánicos y ajustadores electricistas,7241
Ajustadores electronicistas,7242
Ajustadores electronicistas,7242
Mecánicos y reparadores de aparatos electrónicos,7243
Mecánicos y reparadores de aparatos electrónicos,7243
Instaladores y reparadores de telégrafos y teléfonos,7244
Instaladores y reparadores de líneas eléctricas,7245
Instaladores y reparadores de líneas eléctricas,7245
Mecánicos y reparadores de instrumentos de precisión,7311
Mecánicos y reparadores de instrumentos de precisión,7311
Constructores y afinadores de instrumentos musicales,7312
"Joyeros, orfebres y plateros",7313
"Alfareros y afines (barro, arcilla y abrasivos)",7321
"Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio",7322
"Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio",7322
Grabadores de vidrio,7323
"Pintores decoradores de vidrio, cerámica y otros materiales",7324
Artesanos de la madera y materiales similares,7331
Artesanos de la madera y materiales similares,7331
"Artesanos de los tejidos, el cuero y materiales similares",7332
"Cajistas, tipógrafos y afines",7341
"Cajistas, tipógrafos y afines",7341
Estereotipistas y galvanotipistas,7342
Grabadores de imprenta y fotograbadores,7343
Operarios de la fotografía y afines,7344
Encuadernadores y afines,7345
Impresores de sericigrafía y estampadores a la plancha y en textiles,7346
"Carniceros, pescaderos y afines",7411
"Panaderos, pasteleros y confiteros",7412
Operarios de la elaboración de productos lácteos,7413
"Operarios de la conservación de frutas, legumbres, verduras y afines",7414
Catadores y clasificadores de alimentos y bebidas,7415
Preparadores y elaboradores de tabaco y sus productos,7416
Operarios del tratamiento de la madera,7421
Ebanistas y afines,7422
Reguladores y reguladores-operadores de máquinas de labrar madera,7423
"Cesteros, bruceros y afines",7424
Preparadores de fibras,7431
Tejedores con telares o de tejidos de punto y afines,7432
Tejedores con telares o de tejidos de punto y afines,7432
"Sastres, modistos y sombrereros",7433
Peleteros y afines,7434
"Patronistas y cortadores de tela, cuero y afines",7435
"Costureros, bordadores y afines",7436
"Tapiceros, colchoneros y afines",7437
"Apelambradores, pellejeros y curtidores",7441
Zapateros y afines,7442
Operadores de instalaciones mineras,8111
Operadores de instalaciones mineras,8111
Operadores de instalaciones de procesamiento de minerales y rocas,8112
Perforadores y sondistas de pozos y afines,8113
Operadores de hornos de minerales y de hornos de primera fusión de metales,8121
Operadores de hornos de minerales y de hornos de primera fusión de metales,8121
"Operadores de hornos de segunda fusión, máquinas de colar y moldear metales y trenes de laminación",8122
"Operadores de hornos de segunda fusión, máquinas de colar y moldear metales y trenes de laminación",8122
Operadores de instalaciones de tratamiento térmico de metales,8123
Operadores de instalaciones de tratamiento térmico de metales,8123
Operadores de máquinas trefiladoras y estiradoras de metales,8124
Operadores de máquinas trefiladoras y estiradoras de metales,8124
Operadores de hornos de vidriería y cerámica y operadores de máquinas afines,8131
"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes",8139
Operadores de instalaciones de procesamiento de la madera,8141
Operadores de instalaciones para la preparación de pasta para papel,8142
Operadores de instalaciones para la preparación de pasta para papel,8142
Operadores de instalaciones para la fabricación de papel,8143
Operadores de instalaciones para la fabricación de papel,8143
"Operadores de instalaciones quebrantadoras, trituradoras y mezcladoras de sustancias químicas",8151
Operadores de instalaciones de tratamiento químico térmico,8152
Operadores de instalaciones de tratamiento químico térmico,8152
Operadores de equipos de filtración y separación de sustancias químicas,8153
Operadores de equipos de filtración y separación de sustancias químicas,8153
Operadores de equipos de destilación y de reacción química (excepto petróleo y gas natural),8154
Operadores de equipos de destilación y de reacción química (excepto petróleo y gas natural),8154
Operadores de instalaciones de refinación de petróleo y gas natural,8155
Operadores de instalaciones de refinación de petróleo y gas natural,8155
"Operadores de instalaciones de tratamientos químicos, no clasificados bajo otros epígrafes",8159
"Operadores de instalaciones de tratamientos químicos, no clasificados bajo otros epígrafes",8159
Operadores de instalaciones de producción de energía,8161
Operadores de máquinas de vapor y calderas,8162
"Operadores de incineradores, instalaciones de tratamiento de agua y afines",8163
Operadores de cadenas de montaje automatizadas,8171
Operadores de cadenas de montaje automatizadas,8171
Operadores de robots industriales,8172
Operadores de robots industriales,8172
Operadores de máquinas herramientas,8211
Operadores de máquinas herramientas,8211
Operadores de máquinas para fabricar cemento y otros productos minerales,8212
Operadores de máquinas para fabricar productos farmacéuticos y cosméticos,8221
Operadores de máquinas para fabricar productos farmacéuticos y cosméticos,8221
Operadores de máquinas para fabricar municiones y explosivos,8222
Operadores de máquinas para fabricar municiones y explosivos,8222
"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales",8223
"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales",8223
Operadores de máquinas para fabricar accesorios fotográficos,8224
Operadores de máquinas para fabricar accesorios fotográficos,8224
"Operadores de máquinas para fabricar productos químicos, no clasificados bajo otros epígrafes",8229
"Operadores de máquinas para fabricar productos químicos, no clasificados bajo otros epígrafes",8229
Operadores de máquinas para fabricar productos de caucho,8231
Operadores de máquinas para fabricar productos de caucho,8231
Plastic-products machine operators,8232
Plastic-products machine operators,8232
Plastic-products machine operators,8232
Plastic-products machine operators,8232
Operadores de máquinas para fabricar productos de madera,8240
Operadores de máquinas para fabricar productos de madera,8240
Operadores de máquinas de imprenta,8251
Operadores de máquinas de imprenta,8251
Operadores de máquinas de encuadernación,8252
Operadores de máquinas de encuadernación,8252
Operadores de máquinas para fabricar productos de papel,8253
Operadores de máquinas para fabricar productos de papel,8253
"Operadores de máquinas de preparación de fibras, hilado y devanado",8261
"Operadores de máquinas de preparación de fibras, hilado y devanado",8261
Operadores de telares y otras máquinas tejedoras,8262
Operadores de telares y otras máquinas tejedoras,8262
Operadores de máquinas para coser,8263
Operadores de máquinas para coser,8263
"Operadores de máquinas de blanqueo, teñido y tintura",8264
"Operadores de máquinas de blanqueo, teñido y tintura",8264
"Operadores de máquinas de blanqueo, teñido y tintura",8264
Operadores de máquinas de tratamiento de pieles y cueros,8265
Operadores de máquinas de tratamiento de pieles y cueros,8265
Operadores de máquinas para la fabricación de calzado y afines,8266
Operadores de máquinas para la fabricación de calzado y afines,8266
Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero no clasificados bajo otros epígrafes,8269
Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero no clasificados bajo otros epígrafes,8269
"Operadores de máquinas para elaborar carne, pescado y mariscos",8271
"Operadores de máquinas para elaborar carne, pescado y mariscos",8271
Operadores de máquinas para elaborar productos lácteos,8272
Operadores de máquinas para elaborar productos lácteos,8272
Operadores de máquinas para moler cereales y especias,8273
Operadores de máquinas para moler cereales y especias,8273
"Operadores de máquinas para elaborar cereales, productos de panadería y repostería y artículos de chocolate",8274
