"","sector","categoria","trabaja","se trabaja","mes"
"50","Industria Manufacturera","empleador",133.65447319,94.6806480863873,2
"51","Construccion","empleador",973.01037009,663.975479204938,2
"52","Comercio","empleador",794.45860258,565.006717151354,2
"53","Hoteles y Restoranes","empleador",407.54129972,336.163330949003,2
"54","Transporte y Comunicaciones","empleador",857.55630456,519.897370796712,2
"55","Servicios Sociales y Personales","empleador",487.43421436,369.043601645915,2
"56","Inmobiliarias","empleador",448.50188073,448.50188073,2
"57","Agropecuario-Silvicola","cuenta propia",5293.49816138,1810.62003391821,2
"58","Pesca","cuenta propia",203.23240149,203.23240149,2
"59","Industria Manufacturera","cuenta propia",4643.17365416,1179.27807401893,2
"60","Construccion","cuenta propia",3877.7133751,1065.53648633633,2
"61","Comercio","cuenta propia",8971.33033861,2192.16206881071,2
"62","Hoteles y Restoranes","cuenta propia",579.57715893,413.039165231634,2
"63","Transporte y Comunicaciones","cuenta propia",1181.40305989,625.85644847221,2
"64","Servicios Sociales y Personales","cuenta propia",2424.61341359,760.199315794526,2
"65","Inmobiliarias","cuenta propia",371.67985767,188.661903103979,2
"66","Agropecuario-Silvicola","asalariado sin contrato",14740.86039919,4297.30750054545,2
"67","Mineria","asalariado sin contrato",743.73659175,525.901297258836,2
"68","Industria Manufacturera","asalariado sin contrato",1004.14182788,468.398436473174,2
"69","Construccion","asalariado sin contrato",4525.23675914,1792.8871592863,2
"70","Comercio","asalariado sin contrato",3038.68304014,863.856843391422,2
"71","Hoteles y Restoranes","asalariado sin contrato",1340.81256161,537.940819983757,2
"72","Transporte y Comunicaciones","asalariado sin contrato",3216.7240379,1010.08147073608,2
"73","Servicios Sociales y Personales","asalariado sin contrato",9835.41141148,2762.86886890714,2
"74","Administracion Publica","asalariado sin contrato",24.67143139,24.67143139,2
"75","Inmobiliarias","asalariado sin contrato",1886.3111287,1288.96668000581,2
"76","Agropecuario-Silvicola","asalariado con contrato definido",5898.4285476,2266.70128883954,2
"77","Industria Manufacturera","asalariado con contrato definido",5166.65077403,3420.52801485089,2
"78","Construccion","asalariado con contrato definido",1259.27424986,696.580742492511,2
"79","Comercio","asalariado con contrato definido",2478.72243644,877.442053838404,2
"80","Hoteles y Restoranes","asalariado con contrato definido",448.05576422,448.05576422,2
"81","Transporte y Comunicaciones","asalariado con contrato definido",81.22179626,81.22179626,2
"82","Servicios Sociales y Personales","asalariado con contrato definido",4994.46602096,1201.56186968356,2
"83","Administracion Publica","asalariado con contrato definido",2468.92234473,898.621481559623,2
"84","Inmobiliarias","asalariado con contrato definido",2382.57504669,775.321654855185,2
"85","Agropecuario-Silvicola","asalariado con contrato indefinido",5955.5365689,1542.84267570524,2
"86","Industria Manufacturera","asalariado con contrato indefinido",6169.17058051,1662.02501192723,2
"87","Electricidad, Gas y Agua","asalariado con contrato indefinido",793.65765511,486.868478820559,2
"88","Construccion","asalariado con contrato indefinido",1677.71234977,1028.5474212195,2
"89","Comercio","asalariado con contrato indefinido",13124.44272294,2091.86521539429,2
"90","Hoteles y Restoranes","asalariado con contrato indefinido",928.26776092,427.218131776795,2
"91","Transporte y Comunicaciones","asalariado con contrato indefinido",4707.47017675,1383.23382617063,2
"92","Intermediacion Financiera","asalariado con contrato indefinido",1159.36554553,646.326451246637,2
"93","Servicios Sociales y Personales","asalariado con contrato indefinido",16418.31475462,2720.3994249035,2
"94","Administracion Publica","asalariado con contrato indefinido",4605.39426483,1140.37909277116,2
"95","Inmobiliarias","asalariado con contrato indefinido",1129.32793881,559.128909314876,2
"96","Agropecuario-Silvicola","no remunerado",282.91225258,282.91225258,2
"97","Industria Manufacturera","no remunerado",57.76247826,57.76247826,2
"98","Comercio","no remunerado",561.02296791,391.847807005976,2
"99","Servicios Sociales y Personales","no remunerado",164.62306304,164.62306304,2
"100","Inmobiliarias","no remunerado",326.16515461,326.16515461,2
"101","Agropecuario-Silvicola","empleador",2743.85039904,1001.20676759955,3
"102","Industria Manufacturera","empleador",125.58134038,88.8582273962718,3
"103","Construccion","empleador",973.03483194,627.951950173399,3
"104","Comercio","empleador",915.5564791,563.379794485855,3
"105","Hoteles y Restoranes","empleador",444.67787433,334.207758483235,3
"106","Transporte y Comunicaciones","empleador",542.64778892,425.450187794271,3
"107","Servicios Sociales y Personales","empleador",281.38429231,196.491410474796,3
"108","Inmobiliarias","empleador",401.66302346,401.66302346,3
"109","Agropecuario-Silvicola","cuenta propia",3299.11448621,1204.1452718877,3
"110","Pesca","cuenta propia",211.93518956,211.93518956,3
"111","Industria Manufacturera","cuenta propia",4273.80600933,1145.57629262833,3
"112","Construccion","cuenta propia",3736.90079361,979.185055965928,3
"113","Comercio","cuenta propia",8381.94260976,2222.97312129979,3
"114","Hoteles y Restoranes","cuenta propia",918.72999589,539.752674383371,3
"115","Transporte y Comunicaciones","cuenta propia",1910.19971258,752.63752860482,3
"116","Servicios Sociales y Personales","cuenta propia",1970.79730785,621.295913796967,3
"117","Inmobiliarias","cuenta propia",682.20145107,370.60409285966,3
"118","Agropecuario-Silvicola","asalariado sin contrato",15897.15809298,4252.00527859134,3
"119","Industria Manufacturera","asalariado sin contrato",360.65865177,185.377960979956,3
"120","Construccion","asalariado sin contrato",5046.07239395,1787.74232155921,3
"121","Comercio","asalariado sin contrato",3328.33580104,1174.21617718852,3
"122","Hoteles y Restoranes","asalariado sin contrato",1089.93574101,490.426111534583,3
"123","Transporte y Comunicaciones","asalariado sin contrato",4090.06690355,1115.28183977074,3
"124","Servicios Sociales y Personales","asalariado sin contrato",9271.33790754,2555.33448456268,3
"125","Administracion Publica","asalariado sin contrato",21.62099726,21.62099726,3
"126","Inmobiliarias","asalariado sin contrato",1210.96062058,1147.73073414863,3
"127","Agropecuario-Silvicola","asalariado con contrato definido",5163.72514058,2378.06190209884,3
"128","Industria Manufacturera","asalariado con contrato definido",5179.11379844,3078.91836998648,3
"129","Construccion","asalariado con contrato definido",2427.13749843,1117.36184957088,3
"130","Comercio","asalariado con contrato definido",1258.5615206,614.877349066268,3
"131","Hoteles y Restoranes","asalariado con contrato definido",783.76732196,555.641830543233,3
"132","Transporte y Comunicaciones","asalariado con contrato definido",76.1539446,76.1539445999999,3
"133","Servicios Sociales y Personales","asalariado con contrato definido",4827.85683284,1169.61778883823,3
"134","Administracion Publica","asalariado con contrato definido",2185.78539166,789.592276523073,3
"135","Inmobiliarias","asalariado con contrato definido",3741.59260648,1144.12700354416,3
"136","Agropecuario-Silvicola","asalariado con contrato indefinido",5205.87791408,1706.14902407799,3
"137","Industria Manufacturera","asalariado con contrato indefinido",6946.42900959,1773.10980200382,3
"138","Electricidad, Gas y Agua","asalariado con contrato indefinido",683.23345773,400.705899796178,3
"139","Construccion","asalariado con contrato indefinido",387.82865451,250.514836786581,3
"140","Comercio","asalariado con contrato indefinido",12730.82210442,2008.94583494081,3
"141","Hoteles y Restoranes","asalariado con contrato indefinido",978.6967342,406.171357178193,3
"142","Transporte y Comunicaciones","asalariado con contrato indefinido",4104.90511281,1265.49492481505,3
"143","Intermediacion Financiera","asalariado con contrato indefinido",1194.1075163,644.8417953425,3
"144","Servicios Sociales y Personales","asalariado con contrato indefinido",17116.54965311,2630.27311004804,3
"145","Administracion Publica","asalariado con contrato indefinido",4363.94034576,1050.07289854538,3
"146","Inmobiliarias","asalariado con contrato indefinido",1282.63032579,559.050828084473,3
"147","Agropecuario-Silvicola","no remunerado",287.93180764,287.93180764,3
"148","Industria Manufacturera","no remunerado",115.69420236,82.4440367239968,3
"149","Comercio","no remunerado",1705.26301144,862.687890354923,3
"150","Hoteles y Restoranes","no remunerado",229.43517826,229.43517826,3
"151","Servicios Sociales y Personales","no remunerado",144.26867818,144.26867818,3
"152","Inmobiliarias","no remunerado",302.41895924,302.41895924,3
"153","Agropecuario-Silvicola","empleador",2068.30583463,885.795139165057,4
"154","Industria Manufacturera","empleador",108.20591412,76.5250001669101,4
"155","Construccion","empleador",852.14156442,558.716948765103,4
"156","Comercio","empleador",1005.17193814,468.583371114842,4
"157","Hoteles y Restoranes","empleador",387.72617941,288.902681944971,4
"158","Transporte y Comunicaciones","empleador",860.02753829,533.25499446891,4
"159","Servicios Sociales y Personales","empleador",421.96597219,203.05942195745,4
"160","Inmobiliarias","empleador",842.74761755,607.939153036399,4
"161","Agropecuario-Silvicola","cuenta propia",7916.74519443,2970.49458720058,4
"162","Industria Manufacturera","cuenta propia",4933.2454047,1361.93931710064,4
"163","Construccion","cuenta propia",4112.60238739,1005.32737316821,4
"164","Comercio","cuenta propia",9042.95711489,1976.14610125097,4
"165","Hoteles y Restoranes","cuenta propia",869.69165048,472.328528685902,4
"166","Transporte y Comunicaciones","cuenta propia",2183.81546517,747.233899692758,4
"167","Servicios Sociales y Personales","cuenta propia",2047.97593513,599.795916640709,4
"168","Inmobiliarias","cuenta propia",1986.61734175,904.325769028981,4
"169","Agropecuario-Silvicola","asalariado sin contrato",10725.21925003,3519.03981157268,4
"170","Industria Manufacturera","asalariado sin contrato",585.65002583,318.358178557376,4
"171","Construccion","asalariado sin contrato",4352.0149672,1356.07812504063,4
"172","Comercio","asalariado sin contrato",4913.92544905,1330.35276209982,4
"173","Hoteles y Restoranes","asalariado sin contrato",1094.65731334,463.081880051573,4
"174","Transporte y Comunicaciones","asalariado sin contrato",3899.79863254,1014.34725904352,4
"175","Servicios Sociales y Personales","asalariado sin contrato",6972.28936155,1364.8849237969,4
"176","Administracion Publica","asalariado sin contrato",18.99837469,18.99837469,4
"177","Inmobiliarias","asalariado sin contrato",271.29166315,224.523187889806,4
"178","Agropecuario-Silvicola","asalariado con contrato definido",4251.06730079,1995.28582542208,4
"179","Industria Manufacturera","asalariado con contrato definido",3484.80086615,1301.9912566837,4
"180","Electricidad, Gas y Agua","asalariado con contrato definido",146.439568,103.687386180786,4
"181","Construccion","asalariado con contrato definido",2392.08146716,1028.57462354146,4
"182","Comercio","asalariado con contrato definido",716.89499541,465.245115945629,4
"183","Hoteles y Restoranes","asalariado con contrato definido",697.19981883,495.951973701391,4
"184","Transporte y Comunicaciones","asalariado con contrato definido",431.80116823,368.411845386126,4
"185","Servicios Sociales y Personales","asalariado con contrato definido",5527.50280136,1209.83961709848,4
"186","Administracion Publica","asalariado con contrato definido",2922.11105259,1198.49163032571,4
"187","Inmobiliarias","asalariado con contrato definido",3024.45603674,988.007661004978,4
"188","Agropecuario-Silvicola","asalariado con contrato indefinido",6543.00490953,1785.17449560783,4
"189","Industria Manufacturera","asalariado con contrato indefinido",7917.08198851,1766.75248578255,4
"190","Electricidad, Gas y Agua","asalariado con contrato indefinido",966.51330395,430.67749959472,4
"191","Construccion","asalariado con contrato indefinido",1201.94421781,547.250281706365,4
"192","Comercio","asalariado con contrato indefinido",12402.166029,1832.04494967309,4
"193","Hoteles y Restoranes","asalariado con contrato indefinido",1118.68230997,436.420547921768,4
"194","Transporte y Comunicaciones","asalariado con contrato indefinido",4342.04625845,1104.93843365779,4
"195","Intermediacion Financiera","asalariado con contrato indefinido",1517.67258377,683.821580354059,4
"196","Servicios Sociales y Personales","asalariado con contrato indefinido",20868.29055284,2697.21884159668,4
"197","Administracion Publica","asalariado con contrato indefinido",5065.89644232,1257.30440439253,4
"198","Inmobiliarias","asalariado con contrato indefinido",1576.90678168,509.475504542239,4
"199","Agropecuario-Silvicola","no remunerado",973.08616852,973.08616852,4
"200","Industria Manufacturera","no remunerado",104.4020186,74.6264616487998,4
"201","Comercio","no remunerado",1826.22384433,797.513297459106,4
"202","Hoteles y Restoranes","no remunerado",278.19651687,218.359048201167,4
"203","Servicios Sociales y Personales","no remunerado",126.76891681,126.76891681,4
"204","Inmobiliarias","no remunerado",258.27956483,258.27956483,4
"205","Agropecuario-Silvicola","empleador",1377.1801455,619.356345644349,5
"206","Industria Manufacturera","empleador",55.79279863,55.79279863,5
"207","Construccion","empleador",647.10631859,490.074036517794,5
"208","Comercio","empleador",971.7184838,446.444696829584,5
"209","Hoteles y Restoranes","empleador",562.80566727,330.510639760533,5
"210","Transporte y Comunicaciones","empleador",861.85547811,485.055577216606,5
"211","Servicios Sociales y Personales","empleador",537.97791882,285.410778899935,5
"212","Inmobiliarias","empleador",491.09489228,491.094892279999,5
"213","Agropecuario-Silvicola","cuenta propia",10055.41896597,2813.24377592292,5
"214","Industria Manufacturera","cuenta propia",4946.8653354,1404.23526191719,5
"215","Construccion","cuenta propia",3906.03566518,1039.26771812936,5
"216","Comercio","cuenta propia",8469.99645826,1929.37150538097,5
"217","Hoteles y Restoranes","cuenta propia",1270.65313271,553.991078469319,5
"218","Transporte y Comunicaciones","cuenta propia",2679.24999933,817.458950356068,5
"219","Servicios Sociales y Personales","cuenta propia",2318.77035294,859.145753808987,5
"220","Inmobiliarias","cuenta propia",2536.33356098,989.546801710327,5
"221","Agropecuario-Silvicola","asalariado sin contrato",7565.42248521,2146.48358335313,5
"222","Industria Manufacturera","asalariado sin contrato",1311.93004435,590.812064860002,5
"223","Construccion","asalariado sin contrato",3204.26392199,1300.6458658547,5
"224","Comercio","asalariado sin contrato",5623.39078186,1317.19236806152,5
"225","Hoteles y Restoranes","asalariado sin contrato",1808.40327165,640.864486919001,5
"226","Transporte y Comunicaciones","asalariado sin contrato",3067.67272568,836.694704847579,5
"227","Servicios Sociales y Personales","asalariado sin contrato",8705.2784089,1538.22147622697,5
"228","Administracion Publica","asalariado sin contrato",198.95517945,198.95517945,5
"229","Inmobiliarias","asalariado sin contrato",385.46795326,250.011269559791,5
"230","Agropecuario-Silvicola","asalariado con contrato definido",4103.46551094,2322.69276108802,5
"231","Mineria","asalariado con contrato definido",196.5510633,196.5510633,5
"232","Industria Manufacturera","asalariado con contrato definido",3080.5580464,1279.50332093394,5
"233","Electricidad, Gas y Agua","asalariado con contrato definido",148.16297052,105.202612976913,5
"234","Construccion","asalariado con contrato definido",2349.76735726,1006.91177559963,5
"235","Comercio","asalariado con contrato definido",990.62906835,504.123989146556,5
"236","Hoteles y Restoranes","asalariado con contrato definido",577.22052217,408.820012117489,5
"237","Transporte y Comunicaciones","asalariado con contrato definido",383.07009811,363.469601480243,5
"238","Servicios Sociales y Personales","asalariado con contrato definido",4923.79874757,1041.0696329074,5
"239","Administracion Publica","asalariado con contrato definido",3666.29841209,1220.44823173512,5
"240","Inmobiliarias","asalariado con contrato definido",2762.18383126,993.003367148139,5
"241","Agropecuario-Silvicola","asalariado con contrato indefinido",8372.59883042,2170.57463665544,5
"242","Industria Manufacturera","asalariado con contrato indefinido",7390.08741111,1688.59932637348,5
"243","Electricidad, Gas y Agua","asalariado con contrato indefinido",941.4686216,419.342724290258,5
"244","Construccion","asalariado con contrato indefinido",1088.64425208,533.641064629534,5
"245","Comercio","asalariado con contrato indefinido",12343.49746963,1677.71776635844,5
"246","Hoteles y Restoranes","asalariado con contrato indefinido",1213.47089928,472.770412790501,5
"247","Transporte y Comunicaciones","asalariado con contrato indefinido",4763.87804005,1093.29691781392,5
"248","Intermediacion Financiera","asalariado con contrato indefinido",1431.74940216,659.024759741114,5
"249","Servicios Sociales y Personales","asalariado con contrato indefinido",20820.14747447,2851.28885696092,5
"250","Administracion Publica","asalariado con contrato indefinido",5511.70941585,1270.43965449039,5
"251","Inmobiliarias","asalariado con contrato indefinido",2236.1784827,690.210417358179,5
"252","Agropecuario-Silvicola","no remunerado",957.43280036,957.43280036,5
"253","Industria Manufacturera","no remunerado",105.30418848,74.8594396056611,5
"254","Comercio","no remunerado",2410.11156903,886.906382496237,5
"255","Hoteles y Restoranes","no remunerado",276.32858215,217.975406309885,5
"256","Inmobiliarias","no remunerado",212.21885808,212.21885808,5
"257","Agropecuario-Silvicola","empleador",2438.95527985,1536.09839359288,6
"258","Industria Manufacturera","empleador",392.1873121,342.050472258136,6
"259","Construccion","empleador",593.45061168,492.218383728991,6
"260","Comercio","empleador",1487.61593926,510.966769502911,6
"261","Hoteles y Restoranes","empleador",521.93756177,312.412554642689,6
"262","Transporte y Comunicaciones","empleador",782.11153945,467.682319839992,6
"263","Servicios Sociales y Personales","empleador",505.235349,274.001040710864,6
"264","Inmobiliarias","empleador",475.24626846,475.24626846,6
"265","Agropecuario-Silvicola","cuenta propia",12061.09296886,2736.09798573147,6
"266","Industria Manufacturera","cuenta propia",4385.35715119,1361.21719931576,6
"267","Construccion","cuenta propia",4887.74704417,1292.06575655055,6
"268","Comercio","cuenta propia",8892.12029527,1950.03695169051,6
"269","Hoteles y Restoranes","cuenta propia",894.18954186,443.991297556661,6
"270","Transporte y Comunicaciones","cuenta propia",3128.57465945,872.395304821095,6
"271","Servicios Sociales y Personales","cuenta propia",2908.17486875,922.62493333069,6
"272","Inmobiliarias","cuenta propia",2510.02456773,976.972142679853,6
"273","Agropecuario-Silvicola","asalariado sin contrato",6314.89246316,2096.37405944364,6
"274","Industria Manufacturera","asalariado sin contrato",1567.1481752,658.419277836418,6
"275","Construccion","asalariado sin contrato",2554.08166152,1108.09926663071,6
"276","Comercio","asalariado sin contrato",6609.25705381,1225.78771300419,6
"277","Hoteles y Restoranes","asalariado sin contrato",2071.85520457,644.891758615754,6
"278","Transporte y Comunicaciones","asalariado sin contrato",3282.92144297,819.262081969555,6
"279","Servicios Sociales y Personales","asalariado sin contrato",9129.25908955,1576.38680268786,6
"280","Administracion Publica","asalariado sin contrato",193.55647104,193.55647104,6
"281","Inmobiliarias","asalariado sin contrato",653.78880804,404.32969144845,6
"282","Agropecuario-Silvicola","asalariado con contrato definido",4344.67061214,2335.05058647965,6
"283","Mineria","asalariado con contrato definido",198.15218512,198.15218512,6
"284","Industria Manufacturera","asalariado con contrato definido",3031.29688958,1224.4746095375,6
"285","Electricidad, Gas y Agua","asalariado con contrato definido",144.12855138,102.382742491941,6
"286","Construccion","asalariado con contrato definido",1756.07404235,660.606080889556,6
"287","Comercio","asalariado con contrato definido",1092.21771374,462.803611468209,6
"288","Hoteles y Restoranes","asalariado con contrato definido",445.45322065,319.687674427671,6
"289","Transporte y Comunicaciones","asalariado con contrato definido",515.99022954,379.306675371852,6
"290","Servicios Sociales y Personales","asalariado con contrato definido",5055.3680291,1036.50665542406,6
"291","Administracion Publica","asalariado con contrato definido",3535.7953593,1154.49831946538,6
"292","Inmobiliarias","asalariado con contrato definido",2503.70123554,885.881015758749,6
"293","Agropecuario-Silvicola","asalariado con contrato indefinido",9223.12946173,2163.04410671144,6
"294","Industria Manufacturera","asalariado con contrato indefinido",7429.56606064,1606.95475854,6
"295","Electricidad, Gas y Agua","asalariado con contrato indefinido",906.28636238,394.587738500538,6
"296","Construccion","asalariado con contrato indefinido",1197.14685223,534.231022502168,6
"297","Comercio","asalariado con contrato indefinido",11603.01388466,1451.86475509283,6
"298","Hoteles y Restoranes","asalariado con contrato indefinido",1053.65603906,414.100508415788,6
"299","Transporte y Comunicaciones","asalariado con contrato indefinido",4833.17382625,1085.69364947096,6
"300","Intermediacion Financiera","asalariado con contrato indefinido",1539.52967346,662.041404848547,6
"301","Servicios Sociales y Personales","asalariado con contrato indefinido",21727.99859197,2698.88522328084,6
"302","Administracion Publica","asalariado con contrato indefinido",5194.82076074,1368.95681556332,6
"303","Inmobiliarias","asalariado con contrato indefinido",2350.18829103,736.598701040847,6
"304","Agropecuario-Silvicola","no remunerado",1189.26265582,979.133390943359,6
"305","Industria Manufacturera","no remunerado",48.12260031,48.12260031,6
"306","Comercio","no remunerado",2698.42342035,1022.80536884652,6
"307","Hoteles y Restoranes","no remunerado",240.73999958,185.755586782264,6
"308","Inmobiliarias","no remunerado",206.46023577,206.46023577,6
"309","Agropecuario-Silvicola","empleador",3152.26898352,1583.45304591124,7
"310","Industria Manufacturera","empleador",401.68882185,348.536951930714,7
"311","Construccion","empleador",940.84690109,594.904613533842,7
"312","Comercio","empleador",1083.73840459,431.836606260805,7
"313","Hoteles y Restoranes","empleador",774.82335613,400.528881746493,7
"314","Transporte y Comunicaciones","empleador",790.35278621,473.333702196497,7
"315","Servicios Sociales y Personales","empleador",471.53189965,274.671859116184,7
"316","Agropecuario-Silvicola","cuenta propia",11915.31179035,2276.22095064307,7
"317","Industria Manufacturera","cuenta propia",4730.11636712,1773.92927610486,7
"318","Construccion","cuenta propia",5610.25444625,1648.62666569604,7
"319","Comercio","cuenta propia",10494.17598045,2105.88979705467,7
"320","Hoteles y Restoranes","cuenta propia",1037.77941015,471.130455831439,7
"321","Transporte y Comunicaciones","cuenta propia",3195.38048567,856.826612698221,7
"322","Servicios Sociales y Personales","cuenta propia",3504.71035439,1003.38573464562,7
"323","Inmobiliarias","cuenta propia",1197.68652737,606.739444312633,7
"324","Agropecuario-Silvicola","asalariado sin contrato",7893.13103905,2122.27642524168,7
"325","Industria Manufacturera","asalariado sin contrato",1657.70155777,676.91333744913,7
"326","Construccion","asalariado sin contrato",2431.54735032,1002.25174462786,7
"327","Comercio","asalariado sin contrato",4782.36306585,1109.42096525038,7
"328","Hoteles y Restoranes","asalariado sin contrato",1668.95573503,591.194321502959,7
"329","Transporte y Comunicaciones","asalariado sin contrato",3409.7602013,852.362686562837,7
"330","Servicios Sociales y Personales","asalariado sin contrato",8837.06590111,1493.83425503611,7
"331","Administracion Publica","asalariado sin contrato",201.66238777,201.66238777,7
"332","Inmobiliarias","asalariado sin contrato",445.35572185,345.453351737938,7
"333","Agropecuario-Silvicola","asalariado con contrato definido",4922.7505627,2327.93724702584,7
"334","Mineria","asalariado con contrato definido",201.67029425,201.67029425,7
"335","Industria Manufacturera","asalariado con contrato definido",1708.41659452,581.10159912352,7
"336","Electricidad, Gas y Agua","asalariado con contrato definido",838.45911874,838.45911874,7
"337","Construccion","asalariado con contrato definido",1408.00569823,618.080597728782,7
"338","Comercio","asalariado con contrato definido",1391.04210052,555.614332619951,7
"339","Hoteles y Restoranes","asalariado con contrato definido",510.5975265,329.174230400957,7
"340","Transporte y Comunicaciones","asalariado con contrato definido",419.43360761,293.410138601313,7
"341","Servicios Sociales y Personales","asalariado con contrato definido",4847.0254985,1087.72223331298,7
"342","Administracion Publica","asalariado con contrato definido",3764.46804573,864.95667111841,7
"343","Inmobiliarias","asalariado con contrato definido",2603.57020562,903.684226241435,7
"344","Agropecuario-Silvicola","asalariado con contrato indefinido",7462.25956816,2130.96336127637,7
"345","Industria Manufacturera","asalariado con contrato indefinido",7876.49407717,2028.812411147,7
"346","Electricidad, Gas y Agua","asalariado con contrato indefinido",961.08105527,405.755902075213,7
"347","Construccion","asalariado con contrato indefinido",736.97250234,372.190050866153,7
"348","Comercio","asalariado con contrato indefinido",11841.51467787,1522.79576325477,7
"349","Hoteles y Restoranes","asalariado con contrato indefinido",1314.47438522,460.743906748459,7
"350","Transporte y Comunicaciones","asalariado con contrato indefinido",6235.33787415,1339.43581888871,7
"351","Intermediacion Financiera","asalariado con contrato indefinido",1589.78649696,670.792409128858,7
"352","Servicios Sociales y Personales","asalariado con contrato indefinido",19972.76808299,2615.89051887745,7
"353","Administracion Publica","asalariado con contrato indefinido",5144.77280205,1259.04932858802,7
"354","Inmobiliarias","asalariado con contrato indefinido",1448.96981098,614.007351080087,7
"355","Agropecuario-Silvicola","no remunerado",962.12813334,577.173461967718,7
"356","Industria Manufacturera","no remunerado",49.04813229,49.04813229,7
"357","Comercio","no remunerado",2434.05258794,1025.54504180421,7
"358","Hoteles y Restoranes","no remunerado",289.04492414,207.666292380812,7
"359","Inmobiliarias","no remunerado",215.10654696,215.10654696,7
"360","Agropecuario-Silvicola","empleador",3451.05242286,1623.77150827312,8
"361","Industria Manufacturera","empleador",469.28853065,361.196982370251,8
"362","Construccion","empleador",965.20588895,611.316676352175,8
"363","Comercio","empleador",806.41438629,360.491534437862,8
"364","Hoteles y Restoranes","empleador",572.20799452,346.703099846146,8
"365","Transporte y Comunicaciones","empleador",854.1896791,518.149720191172,8
"366","Servicios Sociales y Personales","empleador",235.70011604,140.772528206372,8
"367","Inmobiliarias","empleador",515.50362084,515.50362084,8
"368","Agropecuario-Silvicola","cuenta propia",11827.90070007,2132.94602377498,8
"369","Industria Manufacturera","cuenta propia",4667.67620508,1712.33816750107,8
